epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,266.728,0.4697,0.37938,0.84375,0.82989,0.59895,0.67046,0.46778,1.05179,0.87189,1.05752,0.0005075,0.0005075,0.0005075
62,271.061,0.45728,0.37075,0.84245,0.72872,0.65276,0.65108,0.44629,1.04654,0.89453,1.05037,0.000495125,0.000495125,0.000495125
63,276.04,0.44947,0.3727,0.84063,0.83812,0.59357,0.67633,0.47784,1.01116,0.83328,1.03493,0.00048275,0.00048275,0.00048275
64,280.133,0.4514,0.37253,0.84201,0.74036,0.71289,0.68307,0.46939,1.03878,0.79612,1.0467,0.000470375,0.000470375,0.000470375
65,284.255,0.45353,0.37474,0.84029,0.75486,0.70448,0.70084,0.47617,1.06172,0.78155,1.04635,0.000458,0.000458,0.000458
66,288.417,0.44711,0.3674,0.83702,0.73881,0.69725,0.70088,0.48281,1.02997,0.80087,1.0439,0.000445625,0.000445625,0.000445625
67,292.625,0.44499,0.36511,0.83674,0.75045,0.69831,0.70592,0.48509,1.03196,0.79417,1.04107,0.00043325,0.00043325,0.00043325
68,296.865,0.45421,0.36907,0.839,0.73689,0.69928,0.71118,0.48469,1.05933,0.80699,1.04967,0.000420875,0.000420875,0.000420875
69,301.043,0.44297,0.36372,0.84177,0.75172,0.70136,0.71437,0.48682,1.0538,0.81594,1.05862,0.0004085,0.0004085,0.0004085
70,305.29,0.44181,0.36692,0.84157,0.73355,0.70279,0.6917,0.47336,1.03902,0.81463,1.04664,0.000396125,0.000396125,0.000396125
71,309.82,0.44718,0.36819,0.83996,0.84024,0.60673,0.69359,0.47412,1.04389,0.82503,1.05106,0.00038375,0.00038375,0.00038375
72,313.921,0.44056,0.36252,0.83746,0.84846,0.60384,0.69621,0.47129,1.0568,0.86456,1.05312,0.000371375,0.000371375,0.000371375
73,318.292,0.44278,0.36268,0.83608,0.73619,0.67378,0.68414,0.47747,1.07024,0.82758,1.0627,0.000359,0.000359,0.000359
74,322.48,0.44119,0.36132,0.8385,0.71219,0.70737,0.6769,0.46883,1.04486,0.84394,1.04948,0.000346625,0.000346625,0.000346625
75,326.559,0.44136,0.36154,0.83868,0.71482,0.70016,0.68348,0.47097,1.05205,0.85067,1.05411,0.00033425,0.00033425,0.00033425
76,330.734,0.43343,0.35817,0.83854,0.71918,0.7322,0.69039,0.47596,1.03792,0.87114,1.05056,0.000321875,0.000321875,0.000321875
77,334.937,0.4289,0.36016,0.837,0.75504,0.65288,0.68957,0.46368,1.03795,0.87132,1.04625,0.0003095,0.0003095,0.0003095
78,339.421,0.42155,0.35489,0.83587,0.72703,0.71615,0.70407,0.47575,1.05768,0.86552,1.05513,0.000297125,0.000297125,0.000297125
79,343.59,0.42756,0.35889,0.8404,0.73341,0.71443,0.70244,0.47159,1.07497,0.87785,1.06387,0.00028475,0.00028475,0.00028475
80,347.834,0.42418,0.35079,0.83075,0.78421,0.64281,0.68901,0.45662,1.09989,0.85511,1.07337,0.000272375,0.000272375,0.000272375
81,351.976,0.4265,0.35129,0.83744,0.77451,0.65713,0.70252,0.45911,1.09649,0.83985,1.07968,0.00026,0.00026,0.00026
82,356.056,0.42877,0.35904,0.84003,0.7217,0.71301,0.68877,0.46222,1.09918,0.85345,1.07604,0.000247625,0.000247625,0.000247625
83,360.231,0.43161,0.35541,0.83617,0.72489,0.70212,0.69272,0.45664,1.10341,0.81468,1.07883,0.00023525,0.00023525,0.00023525
